Sample name,U,S,L,R,P,EB2,EB3,EB4,FunctionalAssay,CellNo.Norm_2,CellNo.Norm_4,CellNo.Norm_6,CellNo.Raw_2,CellNo.Raw_4,CellNo.Raw_6,Prolif_2,Prolif_4,Prolif_6,Apoptosis_2,Apoptosis_4,Apoptosis_6,Morphology,Rex1,Oct4,Dnmt3b,Fgf5,Lefty2,Otx2,Mixl1
E116 330 LIF+Pro+DMSO,0,0,0,0,0,0.896427676,5.918759677,6.868753796,13.68394115,1,1,1,6.70E+06,4.00E+06,9.60E+06,,,,,,,0.652902018,1.351345392,2.06629714,3.093747935,3.566290601,3.171181607,3.083756492,1.420151849
E116 L,0,0,1,0,0,3.380036744,2.669933836,5.590003117,11.6399737,0.93,2.48,0.86,6.20E+06,9.90E+06,8.30E+06,,,,,,,1.349620428,-0.202571918,0.073134705,2.565109697,4.094996072,0.180147861,1.9800253,-0.075520008
E116 L+P,0,0,1,0,1,-0.2968993,1.397255346,3.087462841,4.187818887,0.81,0.85,0.42,5.40E+06,3.40E+06,4.00E+06,,,,,,,0.946405229,-1.63039393,-0.347398782,0.779890039,-0.199255376,-2.251538767,-0.680382066,-1.064917477
E116 L+P+S,0,1,1,0,1,-0.293358943,3.96245648,7.327498753,10.99659629,1.13,0.85,0.48,7.60E+06,3.40E+06,4.60E+06,,,,,,,0.154248366,-0.454031631,0.444667067,-0.072482754,1.032806145,1.502330602,2.567545448,0.620117165
E116 L+R,0,0,1,1,0,,,,,0.09,,,5.80E+05,,,,,,,,,,,,,,,,
E116 L+R+P,0,0,1,1,1,,,,,0.11,,,7.60E+05,,,,,,,,,,,,,,,,
E116 L+R+P+S,0,1,1,1,1,,,,,0.08,,,5.60E+05,,,,,,,,,,,,,,,,
E116 L+R+S,0,1,1,1,0,,,,,0.09,,,5.80E+05,,,,,,,,,,,,,,,,
E116 L+S,0,1,1,0,0,,,,,1.37,1.05,0.75,9.20E+06,4.20E+06,7.20E+06,,,,,,,0.342857143,-0.687334826,-0.007231569,-0.465938398,1.954940735,1.039840265,2.339992484,-1.915935735
E116 L+U,1,0,1,0,0,4.597471582,8.882499384,9.412499986,22.89247095,1.22,1.75,0.49,8.20E+06,7.00E+06,4.70E+06,,,,,,,0.772222222,-1.336427665,-0.648371671,1.525066592,3.284958244,0.210388864,1.784922702,-1.311148256
E116 L+U+P,1,0,1,0,1,,,,,0.31,1.02,0.48,2.10E+06,4.07E+06,4.60E+06,,,,,,,0.458455166,-1.15521265,0.039840265,2.487486349,3.557532628,0.3021728,2.142413438,0.045442971
E116 L+U+P+S,1,1,1,0,1,5.242488183,11.7075002,11.97249988,28.92248826,0.79,0.78,0.25,5.30E+06,3.10E+06,2.40E+06,,,,,,,0.279166667,-0.520769439,0.675364313,0.332278283,1.592636429,1.382390583,3.192509819,-0.329159664
E116 L+U+R,1,0,1,1,0,,,,,0.05,,,3.20E+05,,,,,,,,,,,,,,,,
E116 L+U+R+P,1,0,1,1,1,,,,,0.05,,,3.40E+05,,,,,,,,,,,,,,,,
E116 L+U+R+P+S,1,1,1,1,1,,,,,0.04,,,2.60E+05,,,,,,,,,,,,,,,,
E116 L+U+R+S,1,1,1,1,0,,,,,0.06,,,4.20E+05,,,,,,,,,,,,,,,,
E116 L+U+S,1,1,1,0,0,2.6073895,7.777498621,9.957499671,20.34238779,0.57,1.6,0.24,3.80E+06,6.40E+06,2.33E+06,,,,,,,0.324074074,-1.13606155,-0.234465254,-1.038006323,1.352758525,0.702214251,2.477418293,-0.979942348
E116 P,0,0,0,0,1,-0.720231578,2.935082523,3.294988268,5.509839213,0.82,2.35,0.56,5.50E+06,9.40E+06,5.40E+06,,,,,,,0.873015873,-1.217591435,-0.597277823,0.020057652,0.804879608,-0.390245038,0.03562391,-1.426625474
E116 P+S,0,1,0,0,1,,,,,0.64,1.28,0.46,4.27E+06,5.10E+06,4.40E+06,,,,,,,0.252851583,-0.169744676,0.679874148,-1.477944251,2.152507948,2.227433038,2.417379976,-0.125006361
E116 R,0,0,0,1,0,,,,,0.99,1.85,0.38,6.60E+06,7.40E+06,3.67E+06,,,,,,,0.53308919,-0.808437349,-0.09696173,0.215367972,1.520045024,1.149909668,1.140124224,-1.486004021
E116 R+P,0,0,0,1,1,,,,,0.69,1.3,1.08,4.60E+06,5.20E+06,1.04E+07,,,,,,,0.797428621,-0.469929258,1.190298792,0.422233001,2.147632327,1.302757716,1.047538389,-0.020340448
E116 R+P+S,0,1,0,1,1,,,,,0.53,0.95,0.44,3.53E+06,3.80E+06,4.20E+06,,,,,,,0.285279629,-0.839079812,0.094911647,-2.040971781,0.812292845,1.742437445,1.032806145,-0.550042516
E116 R+S,0,1,0,1,0,,,,,1.01,0.85,0.56,6.80E+06,3.40E+06,5.40E+06,,,,,,,0.192497626,-0.655171503,0.295135249,-1.23786383,0.582074221,1.917622702,1.407624676,-0.810966176
E116 S,0,1,0,0,0,3.542505701,7.017498834,7.282495406,17.84249994,1.16,2.65,0.68,7.80E+06,1.06E+07,6.50E+06,,,,,,,0.70157836,-0.727379545,-0.481968507,-0.924125133,1.415217825,1.495183478,1.865126995,-1.12973393
E116 U,1,0,0,0,0,1.020057652,4.399991351,6.52500393,11.94505293,1.36,1.65,0.54,9.10E+06,6.60E+06,5.20E+06,,,,,,,0.501984127,-0.977099598,-0.23786383,0.655351829,2.424922088,1.385154897,2.22002033,-1.040971781
E116 U+P,1,0,0,0,1,,,,,1.25,,0.64,8.40E+06,,6.11E+06,,,,,,,0.725887446,-1.522840789,-0.533242384,0.064882852,1.050327554,0.804879608,1.765110362,-1.074000581
E116 U+P+S,1,1,0,0,1,,,,,0.94,1.05,0.42,6.30E+06,4.20E+06,4.00E+06,,,,,,,0.310107766,-2.343732465,-0.659722595,2.662433396,9.15750105,-0.621488377,1.732486293,5.510012465
E116 U+R,1,0,0,1,0,,,,,0.48,0.68,0.57,3.20E+06,2.70E+06,5.50E+06,,,,,,,0.412518854,-1.407363571,-0.526992432,-0.910501849,0.489542936,1.140124224,1.404903122,-1.603840511
E116 U+R+P,1,0,0,1,1,3.242450074,9.15750105,11.49250016,23.89245128,0.51,1.2,0.35,3.40E+06,4.80E+06,3.40E+06,,,,,,,0.447008547,,,,,,,
E116 U+R+P+S,1,1,0,1,1,2.687508661,9.632500889,12.1624999,24.48250945,0.33,0.78,0.34,2.20E+06,3.10E+06,3.27E+06,,,,,,,0.519244166,-0.734563104,-0.380821784,-1.708396442,2.412510571,1.322505058,2.377401431,1.399991351
E116 U+R+S,1,1,0,1,0,1.592636429,7.917497396,10.71749993,20.22763376,0.61,0.5,0.21,4.10E+06,2.00E+06,2.00E+06,,,,,,,0.245535714,-0.00433459,0.039840265,-2.481968507,-0.36215794,1.487486349,2.267535798,-1.035046947
E116 U+S,1,1,0,0,0,,,,,1.69,0.87,0.51,1.13E+07,3.47E+06,4.90E+06,,,,,,,0.323412698,-0.763660461,-0.083141235,-1.717856771,1.719840555,2.300123725,2.784922702,-0.706041021
E133 330 LIF+Pro+DMSO,0,0,0,0,0,3.324954578,8.274997733,10.89500036,22.49495267,1,1,1,1.00E+07,6.20E+06,5.70E+06,78,75.6,78.6,18.84,12.8,51.8,1.163888889,-0.75389599,-0.289827252,2.285106251,6.137503524,0.852797893,2.667438019,1.155101558
E133 L,0,0,1,0,0,2.504874589,7.4200023,9.825000096,19.74987699,0.82,1.44,0.39,8.20E+06,8.90E+06,2.20E+06,75.8,75.1,73.7,12.93,22.38,41.4,0.909106098,-1.411195433,-0.833927324,1.779890039,5.567515026,-1.052894948,1.122341408,-0.214240226
E133 L+P,0,0,1,0,1,,,,,0.56,0.97,0.09,5.60E+06,6.00E+06,5.33E+05,75.6,70.6,72.2,23.5,24.8,38.5,0.803703704,-1.862496476,-1.070966521,1.784922702,4.712485731,-2.878321443,1.312665174,-0.524915117
E133 L+P+S,0,1,1,0,1,,,,,0.62,0.38,0.07,6.20E+06,2.33E+06,4.00E+05,69.6,68.8,64.3,11.29,37.5,30.3,0.719047619,-1.535331733,-1.058893689,1.525066592,5.177519203,-0.803392956,3.087462841,-0.821126042
E133 L+R,0,0,1,1,0,,,,,0.21,0.26,,2.07E+06,1.60E+06,,66,,,44.7,29.99,,,,,,,,,
E133 L+R+P,0,0,1,1,1,,,,,0.14,,,1.40E+06,,,52.7,,,47.9,,,,,,,,,,
E133 L+R+P+S,0,1,1,1,1,,,,,0.11,,,1.10E+06,,,50.8,,,52.7,,,,,,,,,,
E133 L+R+S,0,1,1,1,0,,,,,0.09,,,8.67E+05,,,49.6,,,29.51,,,,,,,,,,
E133 L+S,0,1,1,0,0,,,,,0.54,,,5.40E+06,,,68.8,,,17.36,,,,,,,,,,
E133 L+U,1,0,1,0,0,,,,,0.9,0.87,0.26,9.00E+06,5.40E+06,1.47E+06,74.3,70.6,74.2,17.97,11.46,47.4,0.388480392,-1.746615764,-1.139235797,1.314986485,4.287472295,-1.217591435,2.542505701,-0.935117148
E133 L+U+P,1,0,1,0,1,,,,,0.74,0.32,0.07,7.40E+06,2.00E+06,4.00E+05,74.5,69.2,69.1,16.51,42.5,47,1.034188034,-2.114035243,-1.035046947,1.909965067,5.597501378,-1.074000581,2.247623756,-1.040971781
E133 L+U+P+S,1,1,1,0,1,3.854993017,11.50500018,11.89000011,27.24999331,0.34,0.46,0.32,3.40E+06,2.87E+06,1.80E+06,69.3,60.6,59.2,44.5,37.55,37.7,0.355042017,,,,,,,
E133 L+U+R,1,0,1,1,0,,,,,0.14,,,1.40E+06,,,57.2,,,46.8,,,,,,,,,,
E133 L+U+R+P,1,0,1,1,1,,,,,0.1,,,1.00E+06,,,34.4,,,43.8,,,,,,,,,,
E133 L+U+R+P+S,1,1,1,1,1,,,,,0.07,,,7.00E+05,,,39.8,,,53.2,,,,,,,,,,
E133 L+U+R+S,1,1,1,1,0,,,,,0.09,,,8.67E+05,,,31,,,50.7,,,,,,,,,,
E133 L+U+S,1,1,1,0,0,,,,,0.58,0.98,0.07,5.80E+06,6.10E+06,4.00E+05,66.5,65.9,63.8,12.88,12.4,55.3,0.388888889,-1.064917477,-0.229382353,0.10433666,3.987502783,0.827819025,3.697551439,-1.343732465
E133 P,0,0,0,0,1,6.200005991,9.924999508,10.42000019,26.54500569,0.51,1.03,0.61,5.10E+06,6.40E+06,3.47E+06,77.5,80,78.2,7.7,13.36,31.4,0.690640394,-1.070966521,-0.715485867,0.895302621,4.562486669,-0.128156351,1.352758525,-0.524915117
E133 P+S,0,1,0,0,1,,,,,0.78,0.32,0.14,7.80E+06,2.00E+06,8.00E+05,75.7,68.2,72.2,6.59,25.1,24.2,0.515686275,-0.965784285,-0.40927823,0.639695233,4.417515003,0.667210912,3.162532318,-0.469929258
E133 R,0,0,0,1,0,1.804879608,9.364999137,10.82000021,21.98987896,0.44,0.84,1.26,4.40E+06,5.20E+06,7.20E+06,76.7,74.5,74.4,14.71,9.73,15.77,0.474761905,-1.114035243,-0.340075442,0.84478735,4.082532289,0.632268215,1.422233001,-0.189351252
E133 R+P,0,0,0,1,1,5.500005292,13.50000006,12.12500011,31.12500546,0.56,0.4,0.34,5.60E+06,2.47E+06,1.93E+06,74.1,71.1,73.4,8.85,17.68,32.9,0.506356389,-0.888968688,-0.174621396,1.194717463,4.697495838,1.137503524,2.037382222,0.314986485
E133 R+P+S,0,1,0,1,1,-0.254977851,7.3950028,11.96499997,19.10502492,0.4,0.32,0.63,4.00E+06,2.00E+06,3.60E+06,72.8,65.3,60.9,13.87,14.64,13.68,0.483524904,,,,,,,
E133 R+S,0,1,0,1,0,0.489542936,5.805008636,10.40499995,16.69955152,0.46,0.76,0.51,4.60E+06,4.73E+06,2.90E+06,73.6,69.6,71.7,5.78,13.65,24.87,0.340909091,-0.886299501,-0.084670324,-0.59946207,-6.058893689,1.547449829,3.012568674,-0.564904848
E133 S,0,1,0,0,0,,,,,0.76,1.65,1.72,7.60E+06,1.02E+07,9.80E+06,75.5,74.5,74.1,3.94,7.93,32.6,0.156156156,-0.655171503,0.175045486,-0.710755715,3.605020153,1.050327554,3.150072197,1.09017595
E133 U,1,0,0,0,0,,,,,0.72,1.74,0.27,7.20E+06,1.08E+07,1.55E+06,77.4,76.3,73.4,5.97,14.34,32.4,0.587912088,-1.639354798,-1.354759487,0.190298792,4.082532289,0.007195501,2.007554336,-0.564904848
E133 U+P,1,0,0,0,1,5.415014957,11.235,10.07999937,26.73001433,0.56,0.71,0.56,5.60E+06,4.40E+06,3.20E+06,78,73.9,76.1,11.65,25.1,39.2,0.513450293,-1.064917477,-0.325539348,1.770194755,1.697329024,0.237563718,3.21754094,-0.089267338
E133 U+P+S,1,1,0,0,1,-1.02620507,8.755001043,10.6099996,18.33879557,0.54,0.55,0.54,5.40E+06,3.40E+06,3.10E+06,74.4,67.6,68.5,10.24,,51.5,0.174350649,,,,,,,
E133 U+R,1,0,0,1,0,2.854993017,8.954998877,11.09500003,22.90499192,0.48,0.58,0.35,4.80E+06,3.60E+06,2.00E+06,75.6,72.7,68.9,26.1,23.45,46.2,0.399915302,-1.351074441,-0.434402824,0.84478735,4.262508327,0.552868871,2.472487771,-0.634867407
E133 U+R+P,1,0,0,1,1,,,,,0.43,0.16,,4.27E+06,1.00E+06,,73.5,61.4,,18.28,16.74,,,,,,,,,
E133 U+R+P+S,1,1,0,1,1,0.455228571,11.14000021,11.37999994,22.97522872,0.29,0.41,0.55,2.90E+06,2.53E+06,3.13E+06,66.9,57.7,,19.71,32.9,23.18,0.703083466,,,,,,,
E133 U+R+S,1,1,0,1,0,,,,,0.44,0.52,0.14,4.40E+06,3.20E+06,8.00E+05,70.3,56.7,50,15.06,23.22,39.8,0.390442891,-1.498178735,-0.985644707,-0.828793173,3.677508242,-0.017417053,2.547449829,-6.058893689
E133 U+S,1,1,0,0,0,4.57500972,10.65500024,11.32999978,26.56000974,0.85,0.77,0.54,8.50E+06,4.80E+06,3.10E+06,72.5,70.5,70.4,3.65,14.95,45.3,0.314213564,-0.614845103,-0.189351252,-0.550042516,3.637494325,1.51752767,3.997473072,-0.260151897
E136 330 LIF+Pro+DMSO,0,0,0,0,0,7.287499999,9.712499488,10.64250032,27.64249981,1,1,1,9.40E+06,9.80E+06,7.00E+06,74.1,78.2,72.4,23.13,27.25,52.8,1.012121212,0.315055935,0.782588977,2.894974984,6.901250966,1.598594268,3.090078815,1.403772673
E136 L,0,0,1,0,0,1.527570837,1.837539634,6.542505701,9.907616172,1.26,0.48,0.64,1.18E+07,4.73E+06,4.50E+06,68,70.9,72,8.02,43.1,21.17,1.077922078,-0.030619235,0.814755483,1.540027269,6.302501844,1.512479747,2.319906907,0.01720929
E136 L+P,0,0,1,0,1,,,,,0.45,0.23,0.29,4.20E+06,2.30E+06,2.00E+06,68,65.3,67.1,39.7,71.2,67.1,0.790277778,0.764685853,1.365132593,3.945045797,5.834989253,1.750177706,3.179988685,2.469885976
E136 L+P+S,0,1,1,0,1,-1.011587974,2.827412574,4.527508284,6.343332884,0.39,,0.42,3.70E+06,,2.95E+06,65.3,69.1,65.7,14.79,47.9,31.76,0.725128205,-0.675765438,0.620117165,-0.965784285,3.872533297,2.067638717,3.150072197,-1.407363571
E136 L+R,0,0,1,1,0,,,,,0.02,,,1.78E+05,,,53.7,,,68.9,,,,,,,,,,
E136 L+R+P,0,0,1,1,1,,,,,0.04,,,4.22E+05,,,68,,,69.9,,,,,,,,,,
E136 L+R+P+S,0,1,1,1,1,,,,,0.03,,,2.67E+05,,,28.2,,,66.9,,,,,,,,,,
E136 L+R+S,0,1,1,1,0,,,,,0.01,,,1.11E+05,,,24.9,,,75.6,,,,,,,,,,
E136 L+S,0,1,1,0,0,0.277389699,4.21746339,6.782500303,11.27735339,0.48,0.46,0.54,4.50E+06,4.50E+06,3.80E+06,65,61.8,64.9,9.66,64.7,29.9,0.299069033,,,,,,,
E136 L+U,1,0,1,0,0,2.092545742,6.392506335,10.30750025,18.79255233,0.41,0.3,0.43,3.87E+06,2.93E+06,3.00E+06,65.2,70.7,64.9,4.96,81.8,27.38,0.880371218,-1.123433941,-0.399730246,0.970117398,4.28251394,1.052415894,1.974896364,-1.248107862
E136 L+U+P,1,0,1,0,1,,,,,0.46,0.27,0.21,4.30E+06,2.67E+06,1.47E+06,63,64.1,70.1,17.51,46.4,79.3,0.789038079,-0.50021788,0.195347598,2.849999259,1.924859999,1.190298792,1.904965719,-0.510457064
E136 L+U+P+S,1,1,1,0,1,,,,,0.44,0.17,,4.10E+06,1.67E+06,,66,62.8,64.2,14.38,27.97,11.34,0.86014911,,,,,,,
E136 L+U+R,1,0,1,1,0,,,,,0.02,,,1.56E+05,,,16.9,,,71.9,,,,,,,,,,
E136 L+U+R+P,1,0,1,1,1,,,,,0.01,,,6.67E+04,,,32.7,,,64.2,,,,,,,,,,
E136 L+U+R+P+S,1,1,1,1,1,,,,,0.02,,,1.56E+05,,,36.8,,,76.6,,,,,,,,,,
E136 L+U+R+S,1,1,1,1,0,,,,,0.01,,,6.67E+04,,,27.8,,,80,,,,,,,,,,
E136 L+U+S,1,1,1,0,0,-0.448114897,4.312519967,7.582503316,11.44690839,0.47,0.54,0.54,4.40E+06,5.30E+06,3.80E+06,2.44,63.5,63.2,13.36,31.11,21.62,0.148899624,-0.739372092,-0.03948829,-2.177881725,2.902459533,2.432424977,2.925049965,-6.158429363
E136 P,0,0,0,0,1,,,,,0.57,0.16,,5.33E+06,1.53E+06,,74.6,71.1,74.2,15.14,80.4,25.63,1.082984434,-0.045431429,0.259423152,2.414947328,4.029982866,-0.125006361,1.674912553,0.804879608
E136 P+S,0,1,0,0,1,0.772307975,4.022456592,8.022500979,12.81726555,0.61,0.24,0.87,5.70E+06,2.40E+06,6.10E+06,69.8,74.2,71.4,11.48,42.4,13.91,0.5883092,-0.486004021,0.064882852,-1.055891201,4.797479962,2.437494091,2.764898123,-0.628162383
E136 R,0,0,0,1,0,1.76256143,3.572525918,6.73749749,12.07258484,0.35,0.67,0.59,3.30E+06,6.60E+06,4.10E+06,68.8,72.5,72.2,9.91,36.06,23.19,0.752961256,0.389566812,0.789937869,1.970117398,3.189982654,1.9800253,1.525066592,0.325386415
E136 R+P,0,0,0,1,1,,,,,0.31,0.41,0.23,2.90E+06,4.07E+06,1.60E+06,66,72.2,71.6,15.93,32.19,50.4,0.865472356,-0.685013515,-0.120294234,0.314986485,2.027507957,0.997834333,1.039840265,-1.10780329
E136 R+P+S,0,1,0,1,1,2.937532721,7.692496943,12.01749988,22.64752954,0.34,0.19,,3.20E+06,1.87E+06,,57.7,67.9,67.3,16.3,24.42,8.67,0.766926214,0.010063683,0.814755483,-0.785875195,3.135042286,1.719840555,2.559981194,-0.659722595
