Day,Condition,Value,Exp
EB2,1000 U/mL LIF,-0.810966176,E116
EB2,1000 U/mL LIF,-1.671163536,E116
EB3,1000 U/mL LIF,0.150559677,E116
EB3,1000 U/mL LIF,-0.128156351,E116
EB4,1000 U/mL LIF,2.110029093,E116
EB4,1000 U/mL LIF,1.707524791,E116
EB2,1000 U/mL LIF,-0.828793173,E133
EB3,1000 U/mL LIF,0.085424656,E133
EB4,1000 U/mL LIF,1.91494715,E133
EB2,1000 U/mL LIF,1.602646909,E136
EB3,1000 U/mL LIF,0.887525271,E136
EB4,1000 U/mL LIF,2.422502135,E136
EB2,1000 U/mL LIF,2.058316496,E140
EB3,1000 U/mL LIF,2.518283338,E140
EB4,1000 U/mL LIF,6.13333747,E140
EB2,1000 U/mL LIF,-1.790858602,E142
EB2,1000 U/mL LIF,0.227741076,E142
EB3,1000 U/mL LIF,0.700439718,E142
EB3,1000 U/mL LIF,2.242450074,E142
EB4,1000 U/mL LIF,4.615004242,E142
EB4,1000 U/mL LIF,6.057493596,E142
EB2,330 LIF+Pro+DMSO,1.169925001,E116
EB2,330 LIF+Pro+DMSO,0.622930351,E116
EB3,330 LIF+Pro+DMSO,5.770009701,E116
EB3,330 LIF+Pro+DMSO,6.067509653,E116
EB4,330 LIF+Pro+DMSO,6.695005518,E116
EB4,330 LIF+Pro+DMSO,7.042502074,E116
EB2,330 LIF+Pro+DMSO,3.324954578,E133
EB3,330 LIF+Pro+DMSO,8.274997733,E133
EB4,330 LIF+Pro+DMSO,10.89500036,E133
EB2,330 LIF+Pro+DMSO,7.287499999,E136
EB3,330 LIF+Pro+DMSO,9.712499488,E136
EB4,330 LIF+Pro+DMSO,10.64250032,E136
EB2,330 LIF+Pro+DMSO,4.593353771,E140
EB3,330 LIF+Pro+DMSO,7.358334718,E140
EB4,330 LIF+Pro+DMSO,8.373335002,E140
EB2,L,3.380036744,E116
EB3,L,2.669933836,E116
EB4,L,5.590003117,E116
EB2,L,2.504874589,E133
EB3,L,7.4200023,E133
EB4,L,9.825000096,E133
EB2,L,1.527570837,E136
EB3,L,1.837539634,E136
EB4,L,6.542505701,E136
EB2,L,2.733354341,E140
EB3,L,5.963335397,E140
EB4,L,6.803330378,E140
EB2,L+P,-0.2968993,E116
EB3,L+P,1.397255346,E116
EB4,L+P,3.087462841,E116
EB2,L+P,-0.30222618,E140
EB3,L+P,1.238175419,E140
EB4,L+P,4.24830712,E140
EB2,L+P,3.382528924,E142
EB3,L+P,5.627490111,E142
EB4,L+P,10.09249949,E142
EB2,P,-0.720231578,E116
EB3,P,2.935082523,E116
EB4,P,3.294988268,E116
EB2,P,6.200005991,E133
EB3,P,9.924999508,E133
EB4,P,10.42000019,E133
EB2,P,-0.036525876,E140
EB3,P,2.763411574,E140
EB4,P,3.943358763,E140
EB2,P,1.272620455,E142
EB3,P,4.807509488,E142
EB4,P,8.932501195,E142
EB2,R,1.804879608,E133
EB3,R,9.364999137,E133
EB4,R,10.82000021,E133
EB2,R,1.76256143,E136
EB3,R,3.572525918,E136
EB4,R,6.73749749,E136
EB2,R,-1.190997225,E140
EB3,R,0.38294387,E140
EB4,R,3.478324711,E140
EB2,R+P,5.500005292,E133
EB3,R+P,13.50000006,E133
EB4,R+P,12.12500011,E133
EB2,R+P,1.428142391,E140
EB3,R+P,3.143393419,E140
EB4,R+P,7.85333451,E140
EB2,R+P,-0.234465254,E142
EB3,R+P,4.064969052,E142
EB4,R+P,8.969999447,E142
EB2,S,3.542505701,E116
EB3,S,7.017498834,E116
EB4,S,7.282495406,E116
EB2,S,-0.256700472,E140
EB3,S,2.508428653,E140
EB4,S,4.213347282,E140
EB2,S,0.532067552,E142
EB3,S,5.367510855,E142
EB4,S,,E142
EB2,S,0.272620455,E143
EB3,S,4.402517544,E143
EB4,S,4.942514505,E143
EB2,S+L,0.277389699,E136
EB3,S+L,4.21746339,E136
EB4,S+L,6.782500303,E136
EB2,S+L,0.263034406,E140
EB3,S+L,4.393347551,E140
EB4,S+L,7.598335427,E140
EB2,S+L,-1.461958547,E142
EB3,S+L,2.215057281,E142
EB4,S+L,4.740010073,E142
EB2,S+L+P,-0.293358943,E116
EB3,S+L+P,3.96245648,E116
EB4,S+L+P,7.327498753,E116
EB2,S+L+P,-1.011587974,E136
EB3,S+L+P,2.827412574,E136
EB4,S+L+P,4.527508284,E136
EB2,S+L+P,-1.407363571,E140
EB3,S+L+P,1.118359726,E140
EB4,S+L+P,2.893362211,E140
EB2,S+L+P,0.35952117,E142
EB3,S+L+P,7.104997045,E142
EB4,S+L+P,10.11499942,E142
EB2,S+P,0.772307975,E136
EB3,S+P,4.022456592,E136
EB4,S+P,8.022500979,E136
EB2,S+P,-2.244685096,E140
EB3,S+P,0.018634174,E140
EB4,S+P,3.593353771,E140
EB2,S+P,0.504874589,E142
EB3,S+P,5.234999403,E142
EB4,S+P,7.004995689,E142
EB2,S+R,0.489542936,E133
EB3,S+R,5.805008636,E133
EB4,S+R,10.40499995,E133
EB2,S+R,-0.74178261,E136
EB3,S+R,4.547511524,E136
EB4,S+R,7.677501195,E136
EB2,S+R,-2.64385619,E140
EB3,S+R,-0.236163541,E140
EB4,S+R,3.643278996,E140
EB2,S+R+P,-0.254977851,E133
EB3,S+R+P,7.3950028,E133
EB4,S+R+P,11.96499997,E133
EB2,S+R+P,2.937532721,E136
EB3,S+R+P,7.692496943,E136
EB4,S+R+P,12.01749988,E136
EB2,S+R+P,-2.943416472,E140
EB3,S+R+P,-1.621488377,E140
EB4,S+R+P,2.233274539,E140
EB2,U,1.020057652,E116
EB3,U,4.399991351,E116
EB4,U,6.52500393,E116
EB2,U,2.327399946,E136
EB3,U,6.287509234,E136
EB4,U,7.622498473,E136
EB2,U,0.712815854,E142
EB3,U,6.627504702,E142
EB4,U,10.42250003,E142
EB2,U+L,4.597471582,E116
EB3,U+L,8.882499384,E116
EB4,U+L,9.412499986,E116
EB2,U+L,2.092545742,E136
EB3,U+L,6.392506335,E136
EB4,U+L,10.30750025,E136
EB2,U+L,2.263334936,E140
EB3,U+L,7.993334704,E140
EB4,U+L,5.468322644,E140
EB2,U+L,0.942608336,E142
EB3,U+L,4.492494152,E142
EB4,U+L,8.582499553,E142
EB2,U+L+P,1.32308179,E140
EB3,U+L+P,4.733354341,E140
EB4,U+L+P,7.408329741,E140
EB2,U+L+P,0.959770155,E142
EB3,U+L+P,5.960001932,E142
EB4,U+L+P,8.82000021,E142
EB2,U+L+P,2.103329777,E154
EB3,U+L+P,5.728328707,E154
EB4,U+L+P,8.873333368,E154
EB2,U+P,5.415014957,E133
EB3,U+P,11.235,E133
EB4,U+P,10.07999937,E133
EB2,U+P,-0.171368418,E140
EB3,U+P,1.973427598,E140
EB4,U+P,4.948320504,E140
EB2,U+P,0.355016264,E142
EB3,U+P,6.275007047,E142
EB4,U+P,9.275000061,E142
EB2,U+R,2.854993017,E133
EB3,U+R,8.954998877,E133
EB4,U+R,11.09500003,E133
EB2,U+R,-0.870387262,E140
EB3,U+R,2.118359726,E140
EB4,U+R,4.728355919,E140
EB2,U+R,-0.244685096,E142
EB3,U+R,5.054978678,E142
EB4,U+R,10.09999997,E142
EB2,U+R+P,3.242450074,E116
EB3,U+R+P,9.15750105,E116
EB4,U+R+P,11.49250016,E116
EB2,U+R+P,0.442545456,E136
EB3,U+R+P,6.302501844,E136
EB4,U+R+P,12.21250003,E136
EB2,U+R+P,-1.518701058,E152
EB3,U+R+P,6.101671084,E152
EB4,U+R+P,9.881666149,E152
EB2,U+S,4.57500972,E133
EB3,U+S,10.65500024,E133
EB4,U+S,11.32999978,E133
EB2,U+S,2.192509819,E136
EB3,U+S,10.59750045,E136
EB4,U+S,6.582495789,E136
EB2,U+S,-0.407363571,E140
EB3,U+S,2.248231207,E140
EB4,U+S,5.493327098,E140
EB2,U+S,-0.260151897,E142
EB3,U+S,4.605020153,E142
EB4,U+S,7.860000598,E142
EB2,U+S+L,2.6073895,E116
EB3,U+S+L,7.777498621,E116
EB4,U+S+L,9.957499671,E116
EB2,U+S+L,-0.448114897,E136
EB3,U+S+L,4.312519967,E136
EB4,U+S+L,7.582503316,E136
EB2,U+S+L,-0.395928676,E142
EB3,U+S+L,4.394994229,E142
EB4,U+S+L,7.410001831,E142
EB2,U+S+L+P,5.242488183,E116
EB3,U+S+L+P,11.7075002,E116
EB4,U+S+L+P,11.97249988,E116
EB2,U+S+L+P,3.854993017,E133
EB3,U+S+L+P,11.50500018,E133
EB4,U+S+L+P,11.89000011,E133
EB2,U+S+L+P,2.006836577,E152
EB3,U+S+L+P,7.896665412,E152
EB4,U+S+L+P,11.16666649,E152
EB2,U+S+P,-1.02620507,E133
EB3,U+S+P,8.755001043,E133
EB4,U+S+P,10.6099996,E133
EB2,U+S+P,-1.727379545,E140
EB3,U+S+P,2.093222111,E140
EB4,U+S+P,5.718334224,E140
EB2,U+S+P,0.094911647,E142
EB3,U+S+P,4.009974139,E142
EB4,U+S+P,9.375000322,E142
EB2,U+S+R,1.592636429,E116
EB3,U+S+R,7.917497396,E116
EB4,U+S+R,10.71749993,E116
EB2,U+S+R,0.018634174,E140
EB3,U+S+R,2.27828218,E140
EB4,U+S+R,6.673330279,E140
EB2,U+S+R,1.199750857,E142
EB3,U+S+R,7.044995117,E142
EB4,U+S+R,9.005001305,E142
EB2,U+S+R+P,2.687508661,E116
EB3,U+S+R+P,9.632500889,E116
EB4,U+S+R+P,12.1624999,E116
EB2,U+S+R+P,0.455228571,E133
EB3,U+S+R+P,11.14000021,E133
EB4,U+S+R+P,11.37999994,E133
EB2,U+S+R+P,2.22342255,E154
EB3,U+S+R+P,5.653346693,E154
EB4,U+S+R+P,10.823333,E154