Condition,Value
1000 U/mL LIF,0.263157895
1000 U/mL LIF,0.588235294
1000 U/mL LIF,0.684210526
1000 U/mL LIF,0.904761905
1000 U/mL LIF,1.05
1000 U/mL LIF,0.958333333
1000 U/mL LIF,0.432432432
1000 U/mL LIF,0.583333333
1000 U/mL LIF,0.325
1000 U/mL LIF,0.739130435
1000 U/mL LIF,0.681818182
1000 U/mL LIF,0.75
1000 U/mL LIF,0.866666667
1000 U/mL LIF,1.055555556
1000 U/mL LIF,0.5625
1000 U/mL LIF,0.571428571
330 U/mL LIF,0.652173913
330 U/mL LIF,0.72
330 U/mL LIF,0.739130435
330 U/mL LIF,0.909090909
330 U/mL LIF,1
330 U/mL LIF,0.875
330 U/mL LIF,0.32
330 U/mL LIF,0.461538462
330 U/mL LIF,0.424242424
330 U/mL LIF,0.769230769
330 U/mL LIF,0.457142857
330 U/mL LIF,0.64516129
330 U/mL LIF,0.65625
330 U/mL LIF,0.666666667
330 U/mL LIF,0.56
330 U/mL LIF + Pro,0.346153846
330 U/mL LIF + Pro,1.15
330 U/mL LIF + Pro,1
330 U/mL LIF + Pro,0.956521739
330 U/mL LIF + Pro,0.833333333
330 U/mL LIF + Pro,0.791666667
330 U/mL LIF + Pro,1.4
330 U/mL LIF + Pro,1.571428571
330 U/mL LIF + Pro,1.730769231
330 U/mL LIF + Pro,1.235294118
330 U/mL LIF + Pro,1.230769231
330 U/mL LIF + Pro,1.1
0 U/mL LIF,2
0 U/mL LIF,2
0 U/mL LIF,2
0 U/mL LIF,2
0 U/mL LIF,2
0 U/mL LIF,2
0 U/mL LIF,1.733333333
0 U/mL LIF,1.777777778
0 U/mL LIF,1.818181818
0 U/mL LIF,2
0 U/mL LIF,1.833333333
0 U/mL LIF,2